
Rank	Player (yrs, age)	Wins Above Replacement	PA	IP	Bats/Throws
520.	Mark Belanger (18)	41.0	6602		R
 	Hardy Richardson (14)	41.0	6044	16.0	R
522.	Catfish Hunter+ (15)	40.9	710	3449.1	R
 	Camilo Pascual (18)	40.9	1073	2930.2	R
 	Darrell Porter (17)	40.9	6570		L
525.	Xander Bogaerts (12, 31)	40.8	6517		R
 	Hooks Dauss (15)	40.8	1324	3390.2	R
 	Bob Friend (16)	40.8	1299	3611.0	R
 	Mike Griffin (12)	40.8	6848		L
 	Sadie McMahon (9)	40.8	1191	2634.0	R
530.	Gil McDougald (10)	40.7	5398		R
 	Roy Thomas (13)	40.7	6602	2.2	L
532.	David Justice (14)	40.6	6602		L
533.	Carney Lansford (15)	40.5	7905		R
 	Sam Leever (13)	40.5	1078	2660.2	R
