player_name,war,playerID
Ken Griffey,34.5,griffke02
Pedro Guerrero,34.5,guerrpe01
Travis Fryman,34.4,frymatr01
Alex Gordon,34.4,gordoal01
Frank Killen,34.4,killefr01
Howie Pollet,34.4,polleho01
B.J. Surhoff,34.4,surhobj01
Tim Wakefield,34.4,wakefti01
Michael Brantley,34.3,brantmi02
Thornton Lee,34.3,leeth01
Derek Lowe,34.3,lowede01
Slim Sallee,34.3,sallesl01
Elvis Andrus,34.2,andruel01
Chris Carpenter,34.2,carpech02
Freddy Garcia,34.2,garcifr02
Harry Howell,34.2,howelha01
Willie McGee,34.2,mcgeewi01
Johnny Pesky,34.2,peskyjo01
John Tudor,34.2,tudorjo01
Bob Allison,34.1,allisbo01
Russ Ford,34.1,fordru01
Ron Gant,34.1,gantro01
Bruce Hurst,34.1,hurstbr01
Marty McManus,34.1,mcmanma01
Corey Kluber,34.0,klubeco01
Dan McGann,34.0,mcganda01
Ken McMullen,34.0,mcmulke01
Tony Cuccinello,33.9,cuccito01
Rick Sutcliffe,33.9,sutclri01
Ray Durham,33.8,durhara01
George Grantham,33.8,grantge01
Billy Nash,33.8,nashbi01
Robby Thompson,33.8,thompro01
Anthony Rendon,33.7,rendoan01
Nick Markakis,33.6,markani01
Bobby Thomson,33.6,thomsbo01
Heinie Zimmerman,33.6,zimmehe01
Joe Adcock,33.5,adcocjo01
Dom DiMaggio,33.5,dimagdo01
Mark Ellis,33.5,ellisma01
Smoky Burgess,33.4,burgesm01
Ken Caminiti,33.4,caminke01
Elbie Fletcher,33.4,fletcel01
Kid Elberfeld,33.3,elberki01
Harvey Haddix,33.3,haddiha01
Charlie Leibrandt,33.3,leibrch01
Dwayne Murphy,33.3,murphdw01
Jud Wilson,33.3,wilsoju99
Ken Keltner,33.2,keltnke01
Johnny Logan,33.2,loganjo01
Gene Woodling,33.2,woodlge01
Yu Darvish,33.1,darviyu01
Rick Monday,33.1,mondari01
Earl Torgeson,33.1,torgeea01
Ray Schalk,33.0,schalra01
Gavvy Cravath,32.9,cravaga01
Jim Devlin,32.9,devliji03
Richie Hebner,32.9,hebneri01
